"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 00:42:58 GMT 2022","Mon Jun 27 00:43:01 GMT 2022","3213","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_6_check_delayed_response","Checking delayed page calls"
"passed","Mon Jun 27 00:43:08 GMT 2022","Mon Jun 27 00:43:09 GMT 2022","327","tests","test_get_episodes","TestEpisodes","","","test_get_episode_by_id",""
"passed","Mon Jun 27 00:42:46 GMT 2022","Mon Jun 27 00:42:47 GMT 2022","1221","tests","test_book_store_account_version2","TestBookStore","","","test_delete","delete new user"
"passed","Mon Jun 27 00:42:42 GMT 2022","Mon Jun 27 00:42:43 GMT 2022","853","tests","test_9kovlev_get_episodes","TestCharacters","","","test_episoode_by_series",""
"passed","Mon Jun 27 00:43:11 GMT 2022","Mon Jun 27 00:43:11 GMT 2022","65","tests","test_restful_booker_api","TestRestfulBooker","","","test_2_get_booking_ids","Get all booking ids"
"passed","Mon Jun 27 00:42:50 GMT 2022","Mon Jun 27 00:42:51 GMT 2022","581","tests","test_book_store_account_version2","TestBookStore","","","test_z_authorized","Authorized user"
"skipped","Mon Jun 27 00:42:45 GMT 2022","Mon Jun 27 00:42:45 GMT 2022","0","tests","test_book_store_account","TestBookStore","","","test_4_account_authorized","checking user logged in or not"
"passed","Mon Jun 27 00:43:11 GMT 2022","Mon Jun 27 00:43:11 GMT 2022","52","tests","test_restful_booker_api","TestRestfulBooker","","","test_1_create_auth_token","Generate token"
"passed","Mon Jun 27 00:42:51 GMT 2022","Mon Jun 27 00:42:51 GMT 2022","0","tests","test_dummy","TestSuite","","","test_3",""
"passed","Mon Jun 27 00:42:51 GMT 2022","Mon Jun 27 00:42:51 GMT 2022","0","tests","test_dummy","TestSuite","","","test_1",""
"passed","Mon Jun 27 00:43:06 GMT 2022","Mon Jun 27 00:43:07 GMT 2022","737","tests","test_get_characters","TestCharacters","","","test_single_character_not_existing",""
"passed","Mon Jun 27 00:42:51 GMT 2022","Mon Jun 27 00:42:54 GMT 2022","2773","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_1_check_list_users_pages","Getting the default list of users. Determining the number of pages and users."
"skipped","Mon Jun 27 00:42:51 GMT 2022","Mon Jun 27 00:42:51 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_15",""
"passed","Mon Jun 27 00:42:51 GMT 2022","Mon Jun 27 00:42:51 GMT 2022","0","tests","test_dummy","TestSuite","","","test_4",""
"skipped","Mon Jun 27 00:42:45 GMT 2022","Mon Jun 27 00:42:45 GMT 2022","1","tests","test_book_store_account","TestBookStore","","","test_3_login","user login"
"passed","Mon Jun 27 00:42:43 GMT 2022","Mon Jun 27 00:42:44 GMT 2022","374","tests","test_9kovlev_get_episodes","TestCharacters","","","test_test_first_episoode_invalid_id",""
"passed","Mon Jun 27 00:43:09 GMT 2022","Mon Jun 27 00:43:09 GMT 2022","326","tests","test_get_quotes","TestGetQuotes","","","test_get_all_quotes_by_author",""
"passed","Mon Jun 27 00:43:03 GMT 2022","Mon Jun 27 00:43:04 GMT 2022","397","tests","test_get_characters","TestCharacters","","","test_character_by_part_name",""
"passed","Mon Jun 27 00:43:07 GMT 2022","Mon Jun 27 00:43:08 GMT 2022","328","tests","test_get_episodes","TestEpisodes","","","test_episodes_by_part_name_of_series",""
"passed","Mon Jun 27 00:42:47 GMT 2022","Mon Jun 27 00:42:47 GMT 2022","658","tests","test_book_store_account_version2","TestBookStore","","","test_generate_token","Generate token"
"passed","Mon Jun 27 00:43:04 GMT 2022","Mon Jun 27 00:43:04 GMT 2022","415","tests","test_get_characters","TestCharacters","","","test_character_invalid_limit",""
"passed","Mon Jun 27 00:43:01 GMT 2022","Mon Jun 27 00:43:01 GMT 2022","400","tests","test_get_characters","TestCharacters","","","test_all_characters",""
"passed","Mon Jun 27 00:42:51 GMT 2022","Mon Jun 27 00:42:51 GMT 2022","0","tests","test_dummy","TestSuite","","","test_5",""
"skipped","Mon Jun 27 00:42:45 GMT 2022","Mon Jun 27 00:42:45 GMT 2022","1","tests","test_book_store_account","TestBookStore","","","test_1_user_create","create new user"
